Progress,Duration (in seconds),Consent,PreFall_Skills_1,PreFall_Skills_2,PreFall_Skills_3,PreFall_Skills_4,PreFall_Skills_5,PostFall_Skills_1,PostFall_Skills_2,PostFall_Skills_3,PostFall_Skills_4,PostFall_Skills_5,Current_Skills_1,Current_Skills_2,Current_Skills_3,Current_Skills_4,Current_Skills_5,Rubrics,Grades,Expectations,Assessment_Open,Confidence,Habits,Relationships,SEL_Open,Feedback_Strengths,Feedback_Improve,Motivation_Fall,Homework_Fall,Stress_Fall,Feedback_Open,Motivation_Spring,Homework_Spring,Grades_SoFar,Stress_Spring,Spring_Open,Open,School,School_Type,Gender,Gender_4_TEXT,Race,Race_TEXT,TA,Demographics_Open
100,173,1,1,4,4,2,2,4,4,4,4,4,4,4,4,4,4,2,4,2,no,4,4,5,no,4,4,4,2,1,no,4,4,3,8,no,It was very easy,Hall Middle School,public,boy,,white,,No,
100,194,1,3,1,5,2,1,3,3,5,5,4,5,4,5,5,4,4,3,4,,4,2,4,,4,4,5,5,4,,5,5,4,8,,,Burkes,private,girl,,multiracial,,No,
100,189,1,4,5,5,5,5,4,5,5,5,5,4,5,5,5,5,4,4,4,,4,4,4,,4,4,5,5,5,,5,5,3,8,,I like the graceless fall but it was a little hard to go back to grades.,Miller creek middle school ,public,girl,,not listed,,Yes,
100,205,1,5,1,4,1,1,5,1,4,1,2,5,1,4,1,1,5,4,3,,2,3,4,,4,5,1,1,0,,4,2,3,4,,,Mcds,private,boy,,white,,No,
100,252,1,3,2,2,2,3,4,3,3,3,4,5,3,4,3,5,4,3,4,,4,4,5,,3,4,5,4,7,,4,4,4,6,,,Marin Country Day school,private,non-binary,,white,,No,
100,159,1,4,3,4,4,3,4,4,4,4,4,5,4,4,4,4,3,4,4,,4,4,4,,3,4,4,4,6,,4,4,3,8,,,Marin Country Day School,private,girl,,multiracial,,No,
100,220,1,2,3,4,2,3,5,4,5,3,4,5,4,5,3,4,2,2,4,,4,4,5,,4,4,4,5,3,,5,5,3,7,,,Burkes school,private,girl,,white,,No,
100,254,1,2,4,3,3,5,4,5,4,3,5,4,5,4,3,5,4,5,4,,4,4,4,,4,4,4,4,3,,4,5,3,2,,,Venetia valley ,public,boy,,Latine,,Yes,
100,208,1,4,3,4,2,3,3,3,4,3,3,4,3,5,4,3,5,4,4,,4,3,4,,4,4,5,4,8,it was mostly stressful because of the transition rather than because of the academics,5,5,3,8,This one is more academically stressful due to the workload and grades,I think the gradeless fall is great and MA should keep doing it.,Marin Horizon School,private,girl,,white,,No,
100,264,1,2,2,3,2,2,1,2,3,2,3,3,2,3,3,3,4,4,4,no,3,3,3,,4,4,5,3,6,,4,4,3,7,,"I feel that the ""gradeless fall"" name is a misleading one- it still places pressure on students in an evaluative sense, throwing them into the work. While it's not entirely the same, as the stress of the grades being on a transcript is not present, the ever-present ""good or bad"" mentality is still there, no matter how little the grades actually impact us.",Marin Country Day School,private,not listed,i dont know dude,white,,No,
100,175,1,3,4,3,2,3,4,4,4,4,4,5,4,5,5,4,5,5,5,,4,5,5,,5,5,3,4,5,,5,5,5,8,,great,Marin Horizon School,private,boy,,white,,No,
100,190,1,3,3,4,3,3,3,3,4,3,4,4,4,5,4,4,4,3,4,,4,4,5,,4,4,3,5,6,,4,5,3,7,,,Ross ,public,boy,,white,,No,
100,216,1,4,2,4,2,2,4,3,4,3,1,5,3,4,3,3,4,2,4,,4,5,5,,4,4,5,3,6,,5,4,3,7,,I just really appreciated having that time ungraded to settle in to MA and feel comfortable before having to face the idea of grades.,Hall Middle School,public,boy,,white,,No,
100,185,1,5,4,4,4,4,5,4,4,4,4,5,3,4,3,5,3,2,4,,4,4,4,,4,3,5,4,7,,4,4,3,5,,,md,,girl,,not listed,,No,
100,292,1,4,2,4,3,4,4,2,4,4,4,4,4,4,4,4,4,4,4,,4,3,4,,3,4,2,2,5,,4,4,4,6,,"Gradeless fall helped me understand the workload, especially coming from a school that doesn't give as much homework. It was a challenge to stay motivated to do homework assignments knowing it wasn't going to be graded but it helped me find habits. ",The San Francisco School,private,girl,,multiracial,"Latine, Middle Eastern",Yes,
100,272,1,2,2,4,2,2,4,3,5,4,3,4,3,5,4,3,5,5,4,no,4,3,4,no,4,4,4,2,7,,4,2,3,6,,,hamlin,private,girl,,white,,No,
100,253,1,3,2,2,2,2,3,4,4,4,4,4,4,4,3,4,5,4,4,no,4,4,4,"no
",4,4,4,4,4,"no
",4,4,3,5,"no
",.,town,private,boy,,Latine,,No,
100,248,1,3,2,4,2,1,4,3,4,3,3,5,3,5,4,3,5,4,4,,4,4,5,,4,3,3,4,4,,4,4,2,8,,,Cathedral School for Boys,private,boy,,white,,No,
100,285,1,4,3,4,4,5,4,3,4,4,5,5,4,4,4,5,4,3,4,,4,5,5,,5,5,5,5,8,,5,5,3,10,,i really liked it,San Francisco Friends School ,private,girl,,white,,No,
100,241,1,1,4,5,3,1,2,4,5,4,2,2,4,5,4,2,4,4,4,,3,4,4,,3,4,4,4,6,,4,3,2,8,,I think that it was a very good idea to ease the 9th graders into high school life with a gradeless semester,Mark Day School,private,boy,,multiracial,Indian & South African & American ,No,
100,237,1,2,2,3,3,2,3,2,3,3,2,3,3,3,3,2,4,4,4,,2,3,4,,2,3,4,2,4,,5,4,2,9,,,Del Mar,public,boy,,multiracial,,No,
100,228,1,3,2,3,3,3,4,3,4,4,4,5,3,5,4,4,3,4,4,no,4,4,5,no,4,4,4,4,7,no,4,4,3,5,no,no,Town School,private,boy,,white,,Yes,
